surah_number,ayah_start,ayah_end,aljalalyn_tafseer,english_quran_passage,footnote
3,14,17,"Beautified for mankind is love oflutts, that which the self lufts after and calls for, beautified by 
Satan, or by God as a teft — of women, children, ttored-up heaps of gold and silver, horses of mark, 
fine [horses], cattle, namely, camels, cows and sheep, and tillage, the cultivation of land. That, which is 
mentioned, is the comfort of the life of this world, enjoyed while it lafts, but then perishes; but God — 
with Him is the more excellent abode, place of return, which is Paradise, and for this reason one should 
desire none other than this [abode]. Say, O Muhammad (s) to your people, ‘Shall I tell you, shall I inform you, of something better 
than that?, [that] which has been mentioned of lufts (this interrogative is meant as an affirmative). For 
those that are fearful, of idolatry, with their Lord (' inda rabbihim is the predicate, the subject being [the 
following jannatun...]’) are Gardens underneath which rivers flow, abiding therein, decreed for them 
[therein] is eternal life, when they enter it, and spouses purified, of menftruation and other impurities, 
and beatitude (read ridwan or rudwan, meaning ‘much pleasure’) from God; and God is Seer, knower, 
of His servants, requiting each of them according to his deeds. Those ( alladhina is either an adjectival qualification of, or a subftitution for, the previous alladhina ) 
who say: “O, Our Lord, we believe, in You and in Your Prophet; so forgive us our sins, and guard us 
from the chattisement of the Fire”. Thepatient, in obedience and againft disobedience ( al-sabirina, ‘the patient’, is an adjectival quali¬ 
fication [of alladhina, ‘those’]), truthful, in their faith, obedient, compliant before God, expenders, of 
charity, imploring God’s pardon, by saying, ‘Lord, forgive us’ at daybreak’, in the laft part of the night, 
singled out here for mention because it is the time of unawareness and of the joy of sleep.","The love of desirable things has been made appealing to people, such as women, children, hoarded heaps of gold and silver, branded fine horses, livestock, and tilled land. These are the pleasures of the life of this world, but with Allah is the best place of return. . Say, “Shall I inform you of what is better than these? For those who fear Allah are gardens with their Lord under which rivers flow, abiding therein forever, with pure[8] spouses and pleasure from Allah. And Allah is All-Seeing of His slaves, . those who say, “Our Lord, we believe, so forgive us our sins and protect us from the punishment of the Fire.” . Those who are patient, truthful, devout, charitable, and who seek forgiveness before dawn[9].","[8] i.e., they will have no menses, urine, or stool. . [9] The Prophet (ﷺ) said: “Our Lord, glory be His, descends every night to the lowest Heaven, when only the last third of it remains, and He says: “Who is there to supplicate Me so that I may answer him? Who is there to ask of Me so that I may give him? Who is there to seek My forgiveness so that I may forgive him?””. [Al-Bukhāri: 1145, Muslim: 758]"
3,18,20,"God bears witness, [that is to say] He has made it clear to His creation through proofs and signs, 
that there is no god, none that is truly worshipped in exiftence, except Him, He has borne witness to this, 
and the angels, [have also borne witness to this] by affirming it, and those of knowledge, from among the 
prophets and the believers, through [their] conviction and in words; upholding, conftantly and uniquely 
maintaining His creations with juttice, ( qaiman, ‘upholding’, is in the accusative because it is a circum- 
ftantial qualifier and is governed by the import of the ftatement [implied to be something like] tafarrada, 
‘He alone is [upholding]...’); there is no god except Him (He has repeated it for emphasis); the Mighty, 
in His Kingdom, the Wise, in His actions. 


49 


Tafsir al-Jalalayn Lo!, the religion with God, pleasing [to Him], is submission [to the One God], ( al-islam ), that is to 
say, the Divine Law with which the messengers were sent, founded upon the affirmation of Gods One¬ 
ness (a variant reading [for inna, ‘lo!’] has anna, ‘that’, as an inclusive substitution for annahu to the end 
[of that verse, sc. shahida Llahu ... anna l-dina ‘inda Llahi l-isldm, ‘God bears witness that religion with 
God is Islam]). Those who were given the Scripture, the Jews and the Christians, differed, in religion, 
some affirming God’s Oneness, others rejecting it, only after the knowledge, of Oneness, came to them 
through transgression, on the part of the disbelievers, among themselves. And whoever disbelieves in 
God’s signs, God is swift at reckoning, that is, at requiting him. So if they, the disbelievers, dispute with you, O Muhammad (s), concerning religion, say, to them: 
7 have surrendered my countenance to God, [that is to say] I have submitted to Him, 1, and whoever 
follows me’ ( wajh, countenance’, is chosen here because of its noble character, for the other [parts of the 
body] will juSt as soon [surrender once the countenance has]); and say to those who have been given the 
Scripture, the Jews and the Christians, and to the uninStruded, the Arab idolaters: ‘Have you submit¬ 
ted?’, that is to say, ‘Submit!’ And so if they have submitted, they have been guided, from error, but if 
they turn their backs, to Islam, your duty is only to deliver, the Message; and God sees His servants, and 
so requites them for their deeds — this [Statement] was [revealed] before the command to fight [them] 
had been revealed.","Allah testifies that none has the right to be worshiped except Him, as do the angels and people of knowledge; He is the Upholder of justice. None has the right to be worshiped except Him, the All-Mighty, the All-Wise. . The true religion with Allah is Islam. Those who were given the Scripture did not dispute except after the knowledge had come to them, out of mutual envy and rivalry. But whoever rejects the verses of Allah, then Allah is swift in reckoning. . Then if they argue with you, say, “I have submitted myself to Allah, and so have those who follow me.” And say to those who were given the Scripture and to the illiterate[10], “Have you submitted yourselves?” If they do, then they are rightly guided, but if they turn away, your duty is only to convey the message. And Allah is All-Seeing of His slaves.","[10] Those Arabs who had no scripture (i.e., the pagans)."
3,21,22,"Those who disbelieve in the signs of God and slay ( yaqtuluna, is also read as yuqatiluna, ‘they fight 
againSt’) the prophets without right, and slay those who enjoin to equity, to justice, and these are the 
Jews, who are reported to have killed forty-three prophets and to have been forbidden this by a hundred 
and seventy devout worshippers among them, each of whom was killed immediately. So give them good 
tidings, let them know, of a painful chastisement. The use of ‘good tidings’ here is meant as a sarcastic 
ridicule of them (the fa [of fa-bashshirhum, so give them good tidings] is considered part of the predi¬ 
cate of inna because its noun, that is, its relative clause, resembles a conditional [sc. in yakfuruna, ‘if they 
disbelieve...’, fa-bashshirhum, ‘then, give them good tidings...’]). Those are the ones whose works, what good they did in the way of charity and kindness to kin, 
have failed, [whose works] are invalid, in this world and the Hereafter, and so they have nothing to 
reckon with, since these [works] are of no consequence; they have no helpers, [no] protestors from 
the chastisement.","Those who reject the verses of Allah and kill the prophets unjustly, and kill those who enjoin justice among people; so give them tidings of a painful punishment. . They are those whose deeds have become worthless in this world and in the Hereafter, and they will have no helpers.",
3,23,25,"Have you not seen those who were given a portion, a share, of the Book, the Torah, being called 
to the Book of God ( yud’awna, ‘being called’, is a circumstantial qualifier), that it might decide between 
them, and then a party of them turned away, opposed? to the acceptance of its rulings. This was revealed 
concerning the Jews: two of them fornicated and they [the Jews] asked the Prophet (s) to adjudicate the 
case. He ruled that they be Stoned, but they [the Jews] refused to do so. When the Torah was brought and 
consulted, the same verdidt was found, and so the two were Stoned, but they [the Jews] became wrathful. That, turning away and rejection was, because they said, ‘the Fire shall not touch us, except for 
a number of days’, that is, for forty days [only], the length of time their forefathers worshipped the calf, 
after which it would end; and the lies they used to invent, in their saying this, have deluded them in their 
religion (wa-gharrahum ft dinihim, ‘it has deluded them in their religion’, is semantically connected to 
ma kanu yaftaruna, ‘the lies which they used to invent’). But how will it be, their predicament, when We gather them for a day, that is to say, on a day, of 
which there is no doubt, no uncertainty, that is, the Day of Resurrection; and every soul, from among 
the People of the Scripture and others, shall be paid in full, the requital of, what is has earned, [what] it 
has done of good or evil, and they, that is, people, shall not be wronged?, in that no good deed shall be 
diminished, and no evil deed shall be increased.","Have you not considered those who were given a portion of the Scripture? They are invited to the Book of Allah to judge between them, and then a group of them turns away in aversion[11]. . This is because they say, “The Fire will never touch us except for a few days.” They have been deluded in their religion by that which they used to fabricate. . But how [terrible] will it be when We gather them together on a Day about which there is no doubt, and each soul will be fully recompensed for what it has earned, and none will be wronged?","[11] Referring to the Jews of Madinah who refused to implement the rulings of Allah in the Torah or to acknowledge the Prophet (ﷺ), whose coming was mentioned therein."
3,26,27,"When the Prophet (s) promised his community sovereignty over the lands of Persia and Byzan¬ 
tium, the hypocrites said, ‘How preposterous!’, and so the following was revealed, Say: ‘O God, Master 
of the Kingdom, you give the Kingdom to whom You will, from among your creatures, and seize the 
Kingdom from whom You will; You exalt whom You will, by giving it [the kingdom] to him, and You 


50 


Sura Al ‘Imran 

abase whom You will, by seizing it from him; in Your hand, in Your power, is good, that is, as well as evil. 
You are Able to do all things. You make the night to pass, to enter, into the day and You make the day to pass, to enter, into the 
night, each of them increasing by the amount by which the other decreases; You bring forth the living 
from the dead, such as humans and birds, from perm-drops and eggs [repetitively]; and You bring 
forth the dead, the perm-drop and the egg, from the living, and You provide, with abundant provision, 
whom You will without reckoning’.","Say, “O Allah, Lord of the dominion, You give dominion to whom You will and take it away from whom You will; You honor whom You will and humiliate whom You will. All good is in Your Hand. You are Most Capable of all things. . You cause the night to enter into the day and cause the day to enter into the night; You bring the living out of the dead and bring the dead out of the living; and You give provision to whom You will without measure.”",
3,28,30,"Let not the believers take the disbelievers as patrons, rather than, that is, instead of, the believ¬ 
ers —for whoever does that, that is, [whoever] takes them as patrons, does not belong to, the religion of, 
God in anyway — unless you proted yourselves against them, as a safeguard (tuqatan, ‘as a safeguard’, 
is the verbal noun from taqiyyatan), that is to say, [unless] you fear something, in which case you may 
show patronage to them through words, but not in your hearts: this was before the hegemony of Islam 
and [the dipensation] applies to any individual residing in a land with no say in it. God warns you. He 
instills fear in you, of His Self, [warning] that He may be wrathful with you if you take them as patrons; 
and to God is the journey’s end, the return, and He will requite you. Say, to them: ‘Whether you hide what is in your breads, in your hearts, of patronage to them, or 
disclose it, manifest it, God knows it and, He, knows what is in the heavens and what is in the earth; and 
God is Able to do all things, and this includes punishing those who patronise them. And remember, the day every soul shall find what it has done of good present before it, and what 
it has done of evil (the [lat statement constitutes the] subject, the predicate of which is [what follows]), 
it will wish that between it and that there were a great didance, an extremely lengthy distance so that 
it [the evil] could never reach it. God warns you of His Self (this is repeated for emphasis), and God is 
Kind to His servants.","Let not the believers take disbelievers as allies instead of believers, for whoever does so has nothing to do with Allah at all, except as a protective measure to save yourself from them[12]. And Allah warns you of Himself, and to Allah is the final return. . Say, “Whether you conceal what is in your hearts or reveal it, Allah knows it: He knows all that is in the heavens and all that is on earth. And Allah is Most Capable of all things.” . On the Day when every soul will find itself faced with whatever good it has done, and whatever evil it has done – it will wish that there were a great distance between it and its evil. And Allah warns you of Himself, and Allah is All-Gracious to His slaves.","[12] Upon fearing harm from the disbelievers, Muslims are given license to placate them with their tongues, as long as their hearts are firm in Faith."
3,31,32,"When they said, ‘We only worship idols out of our love for God, that they might bring us close to 
Him, the following was revealed: Say, O Muhammad (s), ‘If you love God, follow me, and God will love 
you, meaning that He will reward you, and forgive you your sins; God is Forgiving, as regards the sins, 
committed previously, by one who [now] follows me; Merciful, to him. Say, to them: ‘Obey God, and the Messenger’, as regards the [belief in the] Oneness of God which 
he enjoins upon you. But if they turn their backs, [if they] objecft to obedience, God loves not the disbe¬ 
lievers, meaning that He will chaStise them (the [third person] pronominalisation [‘they’] is replaced by 
the overt noun [‘the disbelievers’]).","Say, “If you love Allah then follow me[13]; Allah will love you and forgive you your sins: for Allah is All-Forgiving, Most Merciful.” . Say, “Obey Allah and the Messenger.” But if they turn away, then Allah does not like the disbelievers.",[13] Following the Prophet Muhammad (ﷺ) is by adhering to his Sunnah.
3,33,41,"Lo! God preferred. He has chosen, Adam and Noah and the House of Abraham and the House 
of‘Imran, meaning [He preferred] their selves [sc. Abraham and ‘Imran], above the worlds, by making 
prophethood reside in [them and] their progeny: the seed of one, offpring from, another, of them; God is Hearer, Knower. Mention, when the wife of‘Imran, Hanna, said, after she had reached old age and longed for a 
child, and supplicated to God and sensed that she was carrying child, ‘O, Lord, I have vowed to, offer, 
You what is within my womb as a consecration, [one] liberated and delivered from the distractions of 
this world for the service of Your Holy House [in Jerusalem]. Accept this from me. Lo! It is You Who are 
the Hearer, of petition, the Knower, of intentions. ‘Imran died while she was till pregnant. And when she gave birth to her, a girl, and she had been hoping for a boy, since only males were 
consecrated to the service of God, she said, apologetically, ‘O, Lord, I have given birth to a female’ 
— and God knew very well what she had given birth to: a parenthetical tatement constituting God’s 
peech (a variant reading [for wadaat, ‘she gave birth’, has wadatu, ‘I gave birth’ [making these Hanna’s 
words, sc. ‘and God knows very well what I have given birth to’]); the male, that she had asked for, is 
not as the female, that was bestowed upon her, because he is designed for the service [of God], while 


51 


Tafsir al-Jalalayn 

she would not be suitable on account of her lesser physical ability, her private parts, the effects of men¬ 
struation on her, and so on. And I have named her Mary, and commend her to You with her seed, her 
children, to protect them from the accursed, the outcast, Satan’. In a hadith [it is Stated]: ‘Every new¬ 
born is touched by Satan and begins [life] by crying, except for Mary and her son, as reported by the two 
Shaykhs [Bukhari and Muslim]. Her Lord accepted the child, that is, He received Mary from her mother, with gracious accept¬ 
ance, and made her grow excellently. He made her grow up with excellent character. She would grow in 
a day by as much as a new-born grew during a year. Her mother took her to the prieSts, the keepers of the 
Holy House [of Jerusalem] and said: ‘This here before you is the dedication [I offered]’. They competed 
for [guardianship of] her, because she was the daughter of their religious leader, at which point Zacha- 
riah said, ‘I am moSt worthy of her, for, her maternal aunt lives with me’. 3 The others said, ‘No, [not until] 
we have caSt lots’. Thus, all twenty nine of them departed to the River Jordan, where they ca£t their quills, 
agreeing that the one whose quill remained fait and floated to the surface of the water would be most 
worthy of [being guardian over] her. Zachariah’s quill remained fait [and surfaced]. He took [charge of] 
her and built for her a gallery-room with a ladder in the temple, and none apart from him went up to 
her. He used to bring her food, drink and oil, and would find her with summer fruits in winter, and win¬ 
ter fruits in summer, just as God says, and Zachariah took charge of her, he took her to him (a variant 
reading [of kafalaha, ‘he took charge of her’] is kaffalahd, ‘He [God] gave Zachariah charge of her’, with 
Zakariyya, or Zakariyya, in the accusative and ‘God’ as the subjed of the verb). Whenever Zachariah 
went into the sanduary, that is, the room, the moil noble seat [in the temple], where she was, he found 
her with provisions. ‘O Mary,’ he said, ‘Whence comes this to you?’ She, dill very young, said, ‘From 
God, He sends it to me from Paradise,’ ‘Truly God provides, abundant provision, for whomever He will 
without reckoning’, without consequence. Then, when Zachariah had seen this and realised that the One with power to bring something 
about in other than its [natural] time, is able to bring about a child in old age, and with those of his family 
line all deceased, Zachariah prayed to his Lord, when he entered the sanduary to pray in the middle of 
the night, saying, ‘Lord, beStow upon me from You a goodly offspring, a righteous son, verily, You are 
the Hearer of, [You are] the One Who answers, supplication’. dud the angels, namely, Gabriel, called to him, Standing in the sanduary, in the temple, at wor¬ 
ship that (anna, means bi-anna; a variant reading has inna, implying a direcft speech statement) ‘God 
gives you good tidings (read yubashshiruka, or yubshiruka) of John, who shall confirm a Word, being, 
from God, namely, Jesus, that he is God’s Spirit; he is referred to as [God’s] ‘Word’, because he was cre¬ 
ated through the word kun, ‘Be’; a lord, with a following, and one chaSte, forbidden from women, and a 
prophet of the righteous’: it is said that he never sinned and never so intended. He said, ‘My Lord! How shall I have a boy, a son, when old age has overtaken me, that is, [after] 
I have reached extreme [old] age, 120 years [old]; and my wife is barren?’, having reached the age of 98. 
He said, ‘So it, the matter, will be’, with God creating a boy from both of you. ‘God does what He will’, 
nothing can prevent Him therefrom, and in order to manifest this great power he was inspired with the 
question so that he would be answered through it [this great power]. And when his soul longed for the 
swiff fulfilment of that of which good tidings had been given: He said, ‘My Lord! Appoint for me a sign’, that is, an indication of my wife’s pregnancy. He said, 
‘Your sign, for this, is that you shall not Speak to men, that is, you shall refrain from peaking to them, 
but not from remembrance of God, save by tokens, gestures, for three days, and nights. And remember 
your Lord often, and glorify, perform prayer, at evening and dawn’, at the end of the day and at its 
beginning.","Allah chose Adam and Noah, the family of Abraham, and the family of ‘Imrān above all people[14]. . They were descendants of one another. And Allah is All-Hearing, All-Knowing. . [Remember] when the wife of ‘Imrān said, “My Lord, I dedicate to You what is in my womb[15], so accept it from me, for You are the All-Hearing, the All-Knowing.” . When she gave birth, she said, “My Lord, I have given birth to a female child,” – and Allah knew best what she had given birth to – “and the male is not like the female. I have named her Mary[16], and I seek refuge with You for her and her offspring from Satan[17], the accursed.” . Her Lord graciously accepted her and caused her to grow in a good manner, and entrusted her to the care of Zachariah. Every time Zachariah entered her prayer chamber, he found with her some provision. He said, “O Mary, where did this come from?” She said, “It is from Allah, for Allah provides for whom He wills without measure.” . Thereupon Zachariah prayed to his Lord, saying, “My Lord, grant me by Your grace virtuous offspring[18], for You are the All-Hearer of prayers.” . The angels called out to him while he was standing in the chamber praying, “Allah gives you glad tidings of John, who will believe in the Word of Allah[19] and will be honorable, abstinent [from women], and a prophet from among the righteous.” . He said: “My Lord, how can I have a son when I have reached old age and my wife is barren?” He said, “Thus Allah does what He wills.” . He said, “My Lord, give me a sign.” He said, “Your sign is that you will not speak to people for three days except by gestures. And remember your Lord often and glorify Him in the evening and the morning.”","[14] Allah chose them above all people of their times: Adam whom He created with His own Hands, made the angels prostrate themselves to him; Noah (عليه السلام) whom He made the first bearer of His Message to humanity; Abraham (عليه السلام), the beloved of God, and his descendants among whom is a great number of prophets, including Muhammad (ﷺ); the Family of ‘Imrān: ‘Imrān and his wife, their daughter Mary and her son Jesus (عليه السلام), who is one of the greatest prophets of humanity. . [15] To the worship of Allah and to spend an entire life tending places of worship. . [16] Maryam (مريم) literally means: maidservant of Allah. [17] Allah answered her prayers. The Prophet (ﷺ) said: “Every newborn child is touched by the devil and they start off by wailing because of this touch, except Maryam and her son”. [Al-Bukhāri: 3231, Muslim: 2366] . [18] Upon seeing that Mary was provided with fruits out of their season, Zachariah’s hopes were revived, so he wished for fruits of his loins out of season; him being old and his wife infertile. . [19] Referring to the prophet Jesus (عليه السلام), who was conceived merely by a command from Allah - the word ""Be."""
3,42,44,"And, mention, when the angels, namely, Gabriel, said, ‘O Mary, God has preferred you. He has 

3 Marys maternal aunt is presumably Zachariah’s wife, since Muslim tradition frequently refers to Jesus and John (Yahya) as the 
maternal cousins (cf. the numerous mi'raj reports), although it is, strictly Sneaking, Mary and John who are the first maternal 
cousins. 


52 


Sura Al ‘Imran 

elected you, and made you pure, of the touch of men; He has preferred you above all women of the 
worlds, that is, the inhabitants of your time. O Mary, be obedient to your Lord, be compliant before Him, prostrating and bowing with those 
who bow’, that is, pray with those who pray. That, which has been mentioned of the matter of Zachariah and Mary, is of the tidings of the 
Unseen, of the news of what was unknown to you. We reveal it to you, O Muhammad (s), for you were 
not with them, when they were casting quills, in the water, drawing their lots so that it be manifested to 
them, which of them should have charge of, [which of them should] bring up, Mary; nor were you with 
them, when they were disputing, about the custodianship of Mary, such that you might have known it 
and related it; but truly you know it only through revelation.","And [remember] when the angels said, “O Mary, Allah has chosen you, purified you, and chosen you over all women. . O Mary, worship your Lord devoutly, prostrate yourself and bow down with those who bow down.” . This is from the stories of the unseen that We reveal to you [O Prophet]; you were not with them when they cast lots as to which of them should take guardianship of Mary, nor were you with them when they disputed about it.",
3,45,51,"Mention, when the angels, namely, Gabriel, said, ‘O Mary, God gives you good tidings of a Word 
from Him, that is, a boy, whose name is the Messiah, Jesus, son of Mary, He addresses her attribut¬ 
ing him to her in order to point out that she will give birth to him without a father, for, the cuStom is 
to attribute the child to its father, honoured shall he be in this world, through prophethood, and the 
Hereafter, through [his] intercession and the high Stations [al-darajat al-’ula, cf. Q. 20:75], an d of those 
brought close, to God. He shall Speak to mankind in the cradle, that is to say, as a child before the age of Speech, and in 
his manhood, and he is of the righteous’. She said, ‘Lord, how shall I have a child when no mortal has touched me?’, neither through con¬ 
jugality or otherwise; He said, the command, ‘It is such, that God will create from you a child without a 
father. God creates what He will. When He decrees a thing, willing its creation. He says to it only: “Be”, 
and it is, that is, [and] ‘he is’. And We will teach him (read nuallimuhu, or yu'allimuhu, ‘He will teach him) the Book, that is, 
script, wisdom, and the Torah, and the GoSpel. And He will make him, to be a messenger to the Children of Israel, during his tender years, or after 
puberty. Gabriel breathed into the opening of her garment and she became pregnant. What happened to 
her after this is mentioned later in surat Maryam [Q. 19:21ft]. Thus, when God sent him to the Children 
of Israel, he said to them, ‘I am God’s Messenger to you’, and, 7 have come to you with a sign, an indica¬ 
tion of my truthfulness, from your Lord, and it is that, I will create (a variant reading for [the particle 
introducing the relative clause] anni, ‘that I’, has inni, ‘truly I’, indicating a new [independent] sentence) 
[that] I will fashion, for you out of clay like the shape of a bird ( ka-hay’at, ‘something like the shape of’: 
the kaf is the subject of a passive participle) then I will breathe into it (fihi, the [suffixed] pronoun [-hi] 
refers to the [preceding] kaf), and it will be a bird (tayran, is also read tairan ) by the leave, the will, of 
God. So he created for them a bat, being the molt perfeCtly-created of birds, and they would watch it 
flying, but when it went out of sight, it would fall dead — so that the work of a creature [sc. Jesus] may 
be distinguished from the work of the Creator, namely, God, exalted be He, and that he might know that 
perfection belongs to God [alone]. I will also heal the blind ( akmah is one that is blind from birth) and 
the leper, these two are singled out for mention because with both afflictions the person is completely 
helpless. He [Jesus] was sent in an age of [characterised by] medicinal science, and he cured, through 
supplication, fifty thousand in one day on the condition that each person would become a believer; and 
I bring to life the dead, by the leave of God — He repeats this to preclude any false attributions of divin¬ 
ity to him — he brought back to life his friend ‘Azar, the son of an old woman, and the daughter of the 
tithe-collector, all of whom lived on and produced offering, and [he also brought back to life] Shem, son 
of Noah, but he died [again] immediately. I will inform you too of what things you eat, and what you 
treasure up, ftore, in your houses, and what I have never seen, and he would inform people what they 
had eaten and what they would eat. Surely in that, mentioned, is a sign for you, if you are believers. Likewise, I have come to you, confirming that which was before me of the Torah, and to make 
lawful for you some of that which was forbidden to you, in it. Thus he made lawful for them fish and 


53 


Tafsir al-Jalalayn 

birds which had no Spikes; it is also said that he made it all lawful for them, so that bad, ‘some’, means, 
kull, ‘all’). I have come to you with a sign from your Lord, He has repeated it for emphasis and to expand 
upon it: so fear God, and obey me, in what I command you of affirming God’s Oneness and being obedi¬ 
ent to Him. Surely God is my Lord and your Lord, so worship Him. This, that which I enjoin upon you, is a 
Straight path’. But they rejected him and did not believe in him.","[Remember] when the angels said, “O Mary, Allah gives you glad tidings of a Word from Him[20], whose name will be the Messiah, Jesus, son of Mary; honorable in this world and the Hereafter, and one of those near [to Allah]. . He will speak to people in the cradle[21] and in maturity, and he will be one of the righteous.” . She said: “My Lord, how can I have a child when no man has ever touched me?” He said, “Thus Allah creates what He wills. When He decrees something, He only says to it ‘Be’, and it is. . And He will teach him writing and wisdom, the Torah and the Gospel. . And [will send him as] a messenger to the Children of Israel, ‘I have come to you with a sign from your Lord that I make for you from clay the figure of a bird, then breathe into it, and it will become a bird by Allah’s permission; and I heal the blind and the leper, and bring the dead to life by Allah’s permission; and I inform you of what you eat and what you store in your houses. There is a sign in this for you, if you are believers. . And [I have come] confirming the Torah that came before me, and to make lawful to you some of what was forbidden to you; and I have come to you with a sign from your Lord, so fear Allah and obey me. . Indeed, Allah is my Lord and your Lord, so worship Him. This is the straight path.”","[20] Jesus was created like Adam, through Allah’s commanding Word: Be! Thus he is called “the Word of Allah”. . [21] ""None spoke in cradle but three: (The first child was Jesus). (The second was): There was a man from the Children of Israel called Jurayj. His story with his mother, and he was falsely blamed for illegal sexual relations with a prostitute. The baby born out of this illegal relation spoke and declared his real father who was a shepherd and not Jurayj, so he was finally proven innocent. (The third was in the following story): A lady from the Children of Israel who wished his nursing child to become like a handsome rider who passed by, and not like a slave-girl who passed by, but the child spoke and wished to be the otherwise. When she asked her child about the reason, he said: ""The rider is one of the tyrants, while the slave-girl is falsely accused of theft and illegal sexual intercourse."" [The story is detailed in Sahih al-Bukhāri: 645]"
3,52,53,"And when Jesus sensed, [when] he became aware of, their disbelief, and they plotted to kill him, 
he said, ‘Who will be my helpers, departing, unto God?’, to help His religion; The disciples said, ‘We 
will be helpers of God, those who assist His religion: they were Jesus’s intimates and the (1 rSt to believe in 
him. [They were] twelve men who were of pure white complexion ( hawar ); but some say that they [were 
called hawdriyyun because they] were bleachers of clothes ( qassdrun ); we believe in, we accept the truth 
of, God; witness, O Jesus, that we have submitted. Lord, we believe in what You have revealed, of the Gospel, and we follow the Messenger, 
Jesus; inscribe us therefore with those who bear witness’, to Your Oneness and to the truthfulness 
of Your Messenger.","When Jesus sensed disbelief from them, he said, “Who are my helpers in the cause of Allah?” The disciples said, “We are helpers of Allah. We believe in Allah; so bear witness that we are Muslims.” . “Our Lord, we believe in what You have sent down and we follow the messenger; so count us among those who bear witness [to the truth].”",
3,54,58,"God says: And they, the disbelievers among the Children of Israel, schemed, against Jesus, by as¬ 
signing someone to assassinate him; and God schemed, by casting the likeness of Jesus onto the person 
who intended to kill him, and so they killed him, while Jesus was raised up into heaven; and God is the 
beSt of schemers, in oil knowledgeable of him [Jesus]. And mention, when God said, ‘O Jesus, I am gathering you, seizing you, and raising you to Me, 
away from the world without death, and I am cleansing you of, removing you far away from, those who 
disbelieved, and I am setting those who follow you, those Christians and Muslims who believed in your 
prophethood, above those who disbelieved, in you, namely, the Jews, becoming above them through 
[definitive] argument and the sword, until the Day of Resurrection. Then to Me shall be your return, 
and I will decide between you, as to what you were at variance about, as regards religion. As for the disbelievers, I will chaStise them with a terrible chastisement in this world, through 
being killed, taken captive and made to pay the jizya, and the Hereafter, in the Fire; they shall have no 
helpers, none to protect them from it. But as for the believers, who do righteous deeds, He will pay them in full ( yuwaffihim, is also 
read nuwaffihim, ‘We will pay them in full’) their wages. God loves not the evildoers, that is. He will 
chaStise them. It is reported that God, exalted be He, sent him [Jesus] a cloud which raised him up, but 
his mother clutched to him in tears. He then said to her, ‘Verily, the Resurrection shall bring us together 
again. This took place on the Night of Ordainment (laylat al-qadr ) in the Holy House [of Jerusalem], 
when he was thirty three years old. His mother lived on after him for six years. The two Shaykhs [Bukhari 
and Muslim] narrate a hadith [in which it is Stated] that he [Jesus] will descend when the Hour is nigh 
and will rule according to the Law of our Prophet [Muhammad], and that he will slay the false messiah 
and the swine, break the cross and impose the jizya. In a hadith recorded by Muslim, he will remain for 
seven years; according to Abu Dawud al-TayalisI, [he will remain for] forty years, and he will die and 
have prayers performed over him. It is possible that what is meant [by the forty years] is the total time he 
will have SJient on earth, before he was raised and afterwards. This, what is mentioned of the matter of Jesus, We recite to you, narrate to you, O Muhammad (s), 
of verses and wise, clear, remembrance, namely, the Qur’an (min al-dydt, ‘of verses’ is a circumstantial 
qualifier referring to the [suffixed pronoun] ha’ of natluhu, and its operator is the demonstrative import 
of dhalika, ‘this’).","And [the disbelievers] devised a plan, but Allah also made a plan[22], and Allah is the best of planners. . And [remember] when Allah said, “O Jesus, I will take you and raise you up to Myself[23] and deliver you from those who disbelieve, and make those who follow you above[24] those who disbelieve until the Day of Resurrection. Then you will all return to Me, and I will judge between you concerning that over which you differed. . As for those who disbelieve, I will punish them severely in this world and the Hereafter, and they will have no helpers. . As for those who believe and do righteous deeds, He will give them their rewards in full, and Allah does not like the wrongdoers.” . This is what We recite to you of the verses and the wise reminder.","[22] The disbelievers among the Children of Israel plotted to kill Jesus (عليه السلام) but Allah saved him and instead facilitated that they seized his look-alike without them realizing it. . [23] He was raised, both body and soul, to the Heavens. [24] This is a promise from Allah that true believers who follow the path of the prophets shall always have the upper hand."
