question_number,arabic,english,answer,relevancy,surah_number,ayah_start,ayah_end,quran_passage_arabic,quran_passage_english
102,من هم قوم موسى؟,Who were the people of Moses?,20:38-48,1,20,38,48,إذ أوحينا إلى أمك ما يوحى. أن اقذفيه في التابوت فاقذفيه في اليم فليلقه اليم بالساحل يأخذه عدو لي وعدو له وألقيت عليك محبة مني ولتصنع على عيني. إذ تمشي أختك فتقول هل أدلكم على من يكفله فرجعناك إلى أمك كي تقر عينها ولا تحزن وقتلت نفسا فنجيناك من الغم وفتناك فتونا فلبثت سنين في أهل مدين ثم جئت على قدر يا موسى. واصطنعتك لنفسي. اذهب أنت وأخوك بآياتي ولا تنيا في ذكري. اذهبا إلى فرعون إنه طغى. فقولا له قولا لينا لعله يتذكر أو يخشى. قالا ربنا إننا نخاف أن يفرط علينا أو أن يطغى. قال لا تخافا إنني معكما أسمع وأرى. فأتياه فقولا إنا رسولا ربك فأرسل معنا بني إسرائيل ولا تعذبهم قد جئناك بآية من ربك والسلام على من اتبع الهدى. إنا قد أوحي إلينا أن العذاب على من كذب وتولى.,"when We inspired your mother, saying, . ‘Put him into the casket, then cast it into the river. The river will carry it to the shore, and he will be picked up by one who is an enemy to Me and enemy to him.’ I bestowed upon you love from Myself[9] so that you would be brought up under My [watchful] Eye. . When your sister was going along and said, ‘Shall I show you someone who will nurse him?’ Thus We brought you back to your mother, so that she may rejoice and not grieve[10]. Then you killed a man [by mistake][11], but We saved you from distress, and We put you through several trials. You stayed among the people of Midian for several years, then you came [here] at a destined time, O Moses. . I have chosen you for Myself. . Go forth, you and your brother, with My signs, and do not slacken in remembering Me. . Go, both of you, to Pharaoh, for he has certainly transgressed all bounds. . But speak to him gently, so that he may take heed or fear Allah.” . They said, “Our Lord, we fear that he may hasten to punish us or transgress all bounds.” . He said, “Do not be afraid; I am with you both, hearing and seeing. . So go to him and say, ‘We are both messengers from your Lord, so let the Children of Israel go with us and do not oppress them. We have come to you with a sign from your Lord, and peace[12] be upon he who follows the true guidance. . It has been revealed to us that the punishment awaits those who reject [the truth] and turn away.’”"
102,من هم قوم موسى؟,Who were the people of Moses?,23:45-50,1,23,45,50,ثم أرسلنا موسى وأخاه هارون بآياتنا وسلطان مبين. إلى فرعون وملئه فاستكبروا وكانوا قوما عالين. فقالوا أنؤمن لبشرين مثلنا وقومهما لنا عابدون. فكذبوهما فكانوا من المهلكين. ولقد آتينا موسى الكتاب لعلهم يهتدون. وجعلنا ابن مريم وأمه آية وآويناهما إلى ربوة ذات قرار ومعين.,"Then We sent Moses and his brother Aaron with Our signs[16] and compelling proof[17] . to Pharaoh and his chiefs, but they showed arrogance and were haughty people. . They said, “Should we believe in two men like ourselves when their people are our slaves?” . So they rejected them both and were among those who were destroyed. . We gave Moses the Scripture so that they[18] might be guided. . We made the son of Mary and his mother a sign[19] and sheltered them on a hillside – a place of rest and a flowing stream[20]."
102,من هم قوم موسى؟,Who were the people of Moses?,26:10-22,1,26,10,22,وإذ نادى ربك موسى أن ائت القوم الظالمين. قوم فرعون ألا يتقون. قال رب إني أخاف أن يكذبون. ويضيق صدري ولا ينطلق لساني فأرسل إلى هارون. ولهم علي ذنب فأخاف أن يقتلون. قال كلا فاذهبا بآياتنا إنا معكم مستمعون. فأتيا فرعون فقولا إنا رسول رب العالمين. أن أرسل معنا بني إسرائيل. قال ألم نربك فينا وليدا ولبثت فينا من عمرك سنين. وفعلت فعلتك التي فعلت وأنت من الكافرين. قال فعلتها إذا وأنا من الضالين. ففررت منكم لما خفتكم فوهب لي ربي حكما وجعلني من المرسلين. وتلك نعمة تمنها علي أن عبدت بني إسرائيل.,"And [remember] when your Lord called out to Moses, “Go to the wrongdoing people – . the people of Pharaoh; will they not fear [the punishment of] Allah?” . He said, “My Lord, I fear that they may reject me, . and I will feel distressed and my tongue will not be fluent, so send Aaron along [to help me]. . Moreover, they have a charge against me, so I fear they may kill me[4].” . Allah said, “Certainly not! Go, both of you, with Our signs[5]; We are with you, listening. . Go to Pharaoh and say, ‘We are the messengers[6] from the Lord of the worlds, . that you let the Children of Israel go with us.’” . Pharaoh said, “Did we not bring you up as a child among us, and you stayed with us several years of your life? . Yet you did what you did[7], and you are extremely ungrateful.” . He said, “I did it when I had no guidance. . So I fled from you in fear. Then my Lord gave me wisdom and made me one of the messengers. . Is this a favor that you remind me with, that you have enslaved the Children of Israel?[8]"
102,من هم قوم موسى؟,Who were the people of Moses?,28:76-80,1,28,76,80,إن قارون كان من قوم موسى فبغى عليهم وآتيناه من الكنوز ما إن مفاتحه لتنوء بالعصبة أولي القوة إذ قال له قومه لا تفرح إن الله لا يحب الفرحين. وابتغ فيما آتاك الله الدار الآخرة ولا تنس نصيبك من الدنيا وأحسن كما أحسن الله إليك ولا تبغ الفساد في الأرض إن الله لا يحب المفسدين. قال إنما أوتيته على علم عندي أولم يعلم أن الله قد أهلك من قبله من القرون من هو أشد منه قوة وأكثر جمعا ولا يسأل عن ذنوبهم المجرمون. فخرج على قومه في زينته قال الذين يريدون الحياة الدنيا يا ليت لنا مثل ما أوتي قارون إنه لذو حظ عظيم. وقال الذين أوتوا العلم ويلكم ثواب الله خير لمن آمن وعمل صالحا ولا يلقاها إلا الصابرون.,"Indeed, Korah[34] was one of the people of Moses, but he behaved arrogantly towards them. We had given him such treasures that their keys would weigh down a group of strong men. When his people said to him, “Do not exult, for Allah does not like the exultant. . Rather, seek with what Allah has given you the abode of the Hereafter, without forgetting your share of this world, and do good as Allah has done good to you, and do not seek to spread corruption in the land, for Allah does not like those who spread corruption.” . He said, “I have been given all this because of the knowledge that I have.” Did he not know that Allah destroyed some generations before him who were superior to him in power and greater in accumulating [wealth]? There will be no need for the wicked to be asked about their sins[35]. . He came out before his people in all his glamor. Those who desired the life of this world said, “Oh, would that we had the like of what Korah has been given! He is indeed a man of great fortune.” . But those who were given knowledge said, “Woe to you! Allah’s reward is better for those who believe and do righteous deeds. But none will attain this except those who are steadfast.”"
102,من هم قوم موسى؟,Who were the people of Moses?,29:38-40,1,29,38,40,وعادا وثمود وقد تبين لكم من مساكنهم وزين لهم الشيطان أعمالهم فصدهم عن السبيل وكانوا مستبصرين. وقارون وفرعون وهامان ولقد جاءهم موسى بالبينات فاستكبروا في الأرض وما كانوا سابقين. فكلا أخذنا بذنبه فمنهم من أرسلنا عليه حاصبا ومنهم من أخذته الصيحة ومنهم من خسفنا به الأرض ومنهم من أغرقنا وما كان الله ليظلمهم ولكن كانوا أنفسهم يظلمون.,"And [We destroyed] ‘Ād and Thamūd, which is clear to you from their ruined dwellings. Satan made their deeds appealing to them and averted them from the right way, although they were people of perception. . And [We also destroyed] Korah, Pharaoh and Hāmān. Moses came to them with clear signs, but they showed arrogance in the land, yet they could not escape [Us]. . Each of them We seized for their sin: against some of them We sent a storm of stones[11]; some were seized by a blast[12]; some We caused the earth to swallow[13]; and some We drowned[14]. It was not Allah Who wronged them, but it was they who wronged themselves."
102,من هم قوم موسى؟,Who were the people of Moses?,32:23-27,1,32,23,27,ولقد آتينا موسى الكتاب فلا تكن في مرية من لقائه وجعلناه هدى لبني إسرائيل. وجعلنا منهم أئمة يهدون بأمرنا لما صبروا وكانوا بآياتنا يوقنون. إن ربك هو يفصل بينهم يوم القيامة فيما كانوا فيه يختلفون. أولم يهد لهم كم أهلكنا من قبلهم من القرون يمشون في مساكنهم إن في ذلك لآيات أفلا يسمعون. أولم يروا أنا نسوق الماء إلى الأرض الجرز فنخرج به زرعا تأكل منه أنعامهم وأنفسهم أفلا يبصرون.,"We gave Moses the Scripture, so do not doubt about meeting him[9], and We made it a guide for the Children of Israel. . We made some of them leaders[10], guiding by Our command, because they observed patience and firmly believed in Our signs. . Indeed, it is your Lord Who will judge between them on the Day of Resurrection concerning that over which they used to differ. . Is it not yet clear to them how many generations We destroyed before them, in whose dwellings they now walk about? Indeed, there are signs in this. Do they not then listen? . Do they not see that We drive water to parched land, producing thereby crops of which their cattle and they themselves eat? Do they not then see?"
102,من هم قوم موسى؟,Who were the people of Moses?,40:23-27,1,40,23,27,ولقد أرسلنا موسى بآياتنا وسلطان مبين. إلى فرعون وهامان وقارون فقالوا ساحر كذاب. فلما جاءهم بالحق من عندنا قالوا اقتلوا أبناء الذين آمنوا معه واستحيوا نساءهم وما كيد الكافرين إلا في ضلال. وقال فرعون ذروني أقتل موسى وليدع ربه إني أخاف أن يبدل دينكم أو أن يظهر في الأرض الفساد. وقال موسى إني عذت بربي وربكم من كل متكبر لا يؤمن بيوم الحساب.,"We sent Moses with Our signs and compelling proof . to Pharaoh, Hāmān and Korah, but they said, “A magician! An utter liar!” . When he came to them with the truth from Us, they said, “Kill the sons of those who believe with him and keep their women alive.” However, the plots of the disbelievers are always bound to fail. . Pharaoh said, “Let me kill Moses, and let him call upon his Lord! For I fear that he may change your religion or spread corruption[5] in the land.” . Moses said, “I seek refuge with my Lord and your Lord from every arrogant person who does not believe in the Day of Reckoning.”"
102,من هم قوم موسى؟,Who were the people of Moses?,40:53-58,1,40,53,58,ولقد آتينا موسى الهدى وأورثنا بني إسرائيل الكتاب. هدى وذكرى لأولي الألباب. فاصبر إن وعد الله حق واستغفر لذنبك وسبح بحمد ربك بالعشي والإبكار. إن الذين يجادلون في آيات الله بغير سلطان أتاهم إن في صدورهم إلا كبر ما هم ببالغيه فاستعذ بالله إنه هو السميع البصير. لخلق السماوات والأرض أكبر من خلق الناس ولكن أكثر الناس لا يعلمون. وما يستوي الأعمى والبصير والذين آمنوا وعملوا الصالحات ولا المسيء قليلا ما تتذكرون.,"We gave Moses guidance, and made the Children of Israel inherit the Scripture, . as a guide and a reminder to people of understanding. . So be patient, for Allah’s promise is true. Seek forgiveness for your sin[13], and glorify your Lord with His praise evening and morning. . Those who argue against the verses of Allah without any proof given to them, there is nothing in their hearts but a quest for dominance which they will never attain. So seek refuge with Allah, for He is the All-Hearing, the All-Seeing. . The creation of the heavens and earth is far greater than the creation of mankind, but most people do not know. . The blind and the seeing are not equal, nor are those who believe and do righteous deeds [equal] to those who do evil. Little do you take heed!"
102,من هم قوم موسى؟,Who were the people of Moses?,43:46-56,1,43,46,56,ولقد أرسلنا موسى بآياتنا إلى فرعون وملئه فقال إني رسول رب العالمين. فلما جاءهم بآياتنا إذا هم منها يضحكون. وما نريهم من آية إلا هي أكبر من أختها وأخذناهم بالعذاب لعلهم يرجعون. وقالوا يا أيه الساحر ادع لنا ربك بما عهد عندك إننا لمهتدون. فلما كشفنا عنهم العذاب إذا هم ينكثون. ونادى فرعون في قومه قال يا قوم أليس لي ملك مصر وهذه الأنهار تجري من تحتي أفلا تبصرون. أم أنا خير من هذا الذي هو مهين ولا يكاد يبين. فلولا ألقي عليه أسورة من ذهب أو جاء معه الملائكة مقترنين. فاستخف قومه فأطاعوه إنهم كانوا قوما فاسقين. فلما آسفونا انتقمنا منهم فأغرقناهم أجمعين. فجعلناهم سلفا ومثلا للآخرين.,"Indeed, We sent Moses with Our signs to Pharaoh and his courtiers, so he said: “I am a messenger of the Lord of the worlds.” . But as soon as he came to them with Our signs, they laughed at them. . Every sign We showed them was greater than the one before it[16], and We seized them with punishment[17] so that they may turn in repentance. . They said, “O magician, call upon your Lord for us, by virtue of the covenant He has made with you[18]; we will surely accept guidance.” . But as soon We removed the punishment from them, they broke their promise. . Pharaoh proclaimed to his people, “O my people, does not the kingdom of Egypt belong to me, and these streams[19] flowing at my feet? Do you not see? . Or am I not better than this contemptible one who can hardly express himself[20]? . Then why are there not sent down upon him bracelets of gold or come with him angels to support him?” . Thus he made a fool of his people and they obeyed him. They were indeed a wicked people. . When they angered Us, We exacted Our retribution and drowned them all. . Thus We made them a precedent and a lesson[21] for the later generations."
102,من هم قوم موسى؟,Who were the people of Moses?,51:38-46,1,51,38,46,وفي موسى إذ أرسلناه إلى فرعون بسلطان مبين. فتولى بركنه وقال ساحر أو مجنون. فأخذناه وجنوده فنبذناهم في اليم وهو مليم. وفي عاد إذ أرسلنا عليهم الريح العقيم. ما تذر من شيء أتت عليه إلا جعلته كالرميم. وفي ثمود إذ قيل لهم تمتعوا حتى حين. فعتوا عن أمر ربهم فأخذتهم الصاعقة وهم ينظرون. فما استطاعوا من قيام وما كانوا منتصرين. وقوم نوح من قبل إنهم كانوا قوما فاسقين.,"And [there is a sign in the story of] Moses when We sent him to Pharaoh with compelling proofs, . But he and his supporters turned away, and he said about [Moses], “A magician or a madman!” . So We seized him and his soldiers and cast them into the sea while he was blameworthy[10]. . And [there is a sign in the story of] ‘Ād, when We sent against them the devastating barren wind[11]. . It spared nothing it came upon except that it reduced it to ruin and decay. . And [there is a sign in the story of] Thamūd, when they were told, “Enjoy yourselves for a while[12].” . But they rebelled against the command of their Lord, so the thunderbolt seized them, while they were looking on. . They could not withstand it, nor could they ward it off. . And the people of Noah [were also destroyed] before them. They were indeed a rebellious people."
102,من هم قوم موسى؟,Who were the people of Moses?,79:15-26,1,79,15,26,هل أتاك حديث موسى. إذ ناداه ربه بالواد المقدس طوى. اذهب إلى فرعون إنه طغى. فقل هل لك إلى أن تزكى. وأهديك إلى ربك فتخشى. فأراه الآية الكبرى. فكذب وعصى. ثم أدبر يسعى. فحشر فنادى. فقال أنا ربكم الأعلى. فأخذه الله نكال الآخرة والأولى. إن في ذلك لعبرة لمن يخشى.,"Has there come to you the story of Moses, . when his Lord called out to him at the sacred valley of Tuwa? . [Saying,] “Go to Pharaoh, for he has transgressed all bounds”. . And say: ‘Are you willing to be purified, . and I will guide you to your Lord so that you may fear Him?’” . Then Moses showed him the greatest sign[9]. . But Pharaoh denied it and disobeyed. . Then he turned back striving to plot. . He gathered [his people] and proclaimed, . saying, “I am your lord, the most high.” . So Allah seized him for an exemplary punishment in this life and in the Hereafter[10]. . Indeed, there is a lesson in this for those who fear Allah."
